################################### RECORDED ###################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -i1:20 -s CmdZ --procfilt fIsis -f ./  Subsys: CmdZ
################################################################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -p localhost-20150706-065018.raw.gz -P -f plot 
# Host:       localhost  DaemonOpts: 
# Booted:     1431591593.67 [20150514-09:19:53]
# Distro:     CentOS Linux release 7.1.1503 (Core)     Platform: 
# Date:       20150706-065018  Secs: 1436161818 TZ: +0100
# SubSys:     CmdZ Options:  Interval: 1:20 NumCPUs: 48 [HYPER] NumBud: 0 Flags: ix
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1200.000 Cores: 12  Siblings: 24 Nodes: 2
# Kernel:     3.10.0-229.el7.x86_64  Memory: 131754524  Swap: 
# NumDisks:   0 DiskNames: 
# NumNets:    3 NetNames: enp1s0f0:1000 enp1s0f1:10000 lo:10000
# SCSI:       DA:0:02:00:00 DA:0:02:01:00
################################################################################
#Date Time [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20150706 08:55:20 131754524 63082168 68672356 20952 0 58135368 1272352 37036 2737068 3137776 0 4194300 116392 4077908 0 0 8 0 0 1096984 0 0 1220 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:21 131754524 63082168 68672356 20952 0 58135368 1272352 37036 2737068 3137776 0 4194300 116392 4077908 0 0 8 0 0 1096984 0 0 1 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:22 131754524 63082356 68672168 20952 0 58135376 1272352 37036 2721144 3137776 0 4194300 116392 4077908 0 0 16 0 0 1096992 0 0 54 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:23 131754524 63082308 68672216 20952 0 58135376 1272352 37036 2737072 3137776 0 4194300 116392 4077908 0 0 16 0 0 1096992 0 30 1 0 0 0 0 190872 0 7 7 0 30 30 0 2 2
20150706 08:55:24 131754524 63082184 68672340 20952 0 58135396 1272352 37036 2736988 3137776 0 4194300 116392 4077908 0 0 36 0 0 1097004 0 0 98 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:25 131754524 63082084 68672440 20952 0 58135404 1272128 37036 2737072 3137776 0 4194300 116392 4077908 0 0 44 0 0 1097020 0 0 1260 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:26 131754524 63082084 68672440 20952 0 58135424 1272128 37036 2737072 3137776 0 4194300 116392 4077908 0 0 64 0 0 1097040 0 0 933 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:27 131754524 63082208 68672316 20952 0 58135424 1272128 37036 2737072 3137776 0 4194300 116392 4077908 0 0 64 0 0 1097040 0 0 3178 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:28 131754524 63082084 68672440 20952 0 58135440 1272128 37036 2737072 3137776 0 4194300 116392 4077908 0 0 80 0 0 1097056 0 0 3070 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:29 131754524 63081836 68672688 20952 0 58135452 1272128 37036 2737072 3137776 0 4194300 116392 4077908 0 0 92 0 0 1097068 0 0 5164 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:30 131754524 63081712 68672812 20952 0 58135468 1272128 37036 2737068 3137776 0 4194300 116392 4077908 0 0 108 0 0 1097084 0 0 3173 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:31 131754524 63081696 68672828 20952 0 58135484 1272128 37036 2737024 3137776 0 4194300 116392 4077908 0 0 124 0 0 1097092 0 0 11858 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:32 131754524 63082008 68672516 20952 0 58135504 1272128 37036 2721060 3137776 0 4194300 116392 4077908 0 0 144 0 0 1097108 0 0 1998 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
